Episode,Episode_Title,Focus_Character,Character_Development_Theme,Grea_Growth_Aspect,Relationship_Depth,Character_Confidence
1,Anne and Grea,Both,Introduction & Friendship,Initial Self-Consciousness,7,4
2,Agony of Grea,Grea,Dragon Nature & Vulnerability,Accepting Dragon Heritage,8,3
3,Princess's Holiday,Both,Social Integration,Social Confidence,7,6
4,Test Time,Anne,Academic Struggles,Supporting Anne,6,5
5,Academy Down,Grea,Protective Instincts,Inner Strength Revealed,9,8
6,Floating at Sea,Grea,Overcoming Fears,Water Phobia to Enjoyment,8,7
7,Hide-and-Seek,Anne,Playful Bond,Carefree Interaction,8,7
8,Backstage Confidential,Grea,Performance Anxiety,Stage Fright to Success,7,5
9,A Slice of Life,Both,Relationship Conflict,Communication Skills,9,6
10,The Pair's Promise,Both,Future Together,Commitment to Friendship,10,8
